State,level_1,Date,Total,Category,lag_1,lag_7,lag_30,rolling_mean_4,month,week_of_year
Alabama,153,2022-09-11,215165395.0,Beverages,227759611.0,0.0,0.0,56939902.75,9,36
Alabama,154,2022-09-18,0.0,Beverages,215165395.0,0.0,0.0,110731251.5,9,37
Alabama,155,2022-09-25,0.0,Beverages,0.0,226809535.0,0.0,110731251.5,9,38
Alabama,156,2022-10-02,218622107.0,Beverages,0.0,0.0,197917628.0,110731251.5,10,39
Alabama,157,2022-10-09,211016006.0,Beverages,218622107.0,0.0,0.0,108446875.5,10,40
Alabama,158,2022-10-16,0.0,Beverages,211016006.0,0.0,0.0,107409528.25,10,41
Alabama,159,2022-10-23,0.0,Beverages,0.0,227759611.0,0.0,107409528.25,10,42
Alabama,160,2022-10-30,0.0,Beverages,0.0,215165395.0,200427370.0,107409528.25,10,43
Alabama,161,2022-11-06,197814663.0,Beverages,0.0,0.0,202888791.0,52754001.5,11,44
Alabama,162,2022-11-13,0.0,Beverages,197814663.0,0.0,0.0,49453665.75,11,45
Alabama,163,2022-11-20,0.0,Beverages,0.0,218622107.0,0.0,49453665.75,11,46
Alabama,164,2022-11-27,0.0,Beverages,0.0,211016006.0,207976103.0,49453665.75,11,47
Alabama,165,2022-12-04,191867741.0,Beverages,0.0,0.0,207537233.0,49453665.75,12,48
Alabama,166,2022-12-11,194239369.0,Beverages,191867741.0,0.0,0.0,47966935.25,12,49
Alabama,167,2022-12-18,0.0,Beverages,194239369.0,0.0,0.0,96526777.5,12,50
Alabama,168,2022-12-25,0.0,Beverages,0.0,197814663.0,0.0,96526777.5,12,51
Alabama,169,2023-01-01,184497797.0,Beverages,0.0,0.0,209711182.0,96526777.5,1,52
Alabama,170,2023-01-08,186490148.0,Beverages,184497797.0,0.0,209838488.0,94684291.5,1,1
Alabama,171,2023-01-15,0.0,Beverages,186490148.0,0.0,0.0,92746986.25,1,2
Alabama,172,2023-01-22,0.0,Beverages,0.0,191867741.0,0.0,92746986.25,1,3
Alabama,173,2023-01-29,0.0,Beverages,0.0,194239369.0,226966251.0,92746986.25,1,4
Alabama,174,2023-02-05,192305584.0,Beverages,0.0,0.0,212433149.0,46622537.0,2,5
Alabama,175,2023-02-12,191999971.0,Beverages,192305584.0,0.0,0.0,48076396.0,2,6
Alabama,176,2023-02-19,0.0,Beverages,191999971.0,184497797.0,0.0,96076388.75,2,7
Alabama,177,2023-02-26,0.0,Beverages,0.0,186490148.0,0.0,96076388.75,2,8
Alabama,178,2023-03-05,209478343.0,Beverages,0.0,0.0,226809535.0,96076388.75,3,9
Alabama,179,2023-03-12,218905536.0,Beverages,209478343.0,0.0,0.0,100369578.5,3,10
Alabama,180,2023-03-19,0.0,Beverages,218905536.0,0.0,0.0,107095969.75,3,11
Alabama,181,2023-03-26,0.0,Beverages,0.0,192305584.0,0.0,107095969.75,3,12
Alabama,182,2023-04-02,205535419.0,Beverages,0.0,191999971.0,227759611.0,107095969.75,4,13
Alabama,183,2023-04-09,202345732.0,Beverages,205535419.0,0.0,215165395.0,106110238.75,4,14
Alabama,184,2023-04-16,0.0,Beverages,202345732.0,0.0,0.0,101970287.75,4,15
Alabama,185,2023-04-23,0.0,Beverages,0.0,209478343.0,0.0,101970287.75,4,16
Alabama,186,2023-04-30,0.0,Beverages,0.0,218905536.0,218622107.0,101970287.75,4,17
Alabama,187,2023-05-07,219573277.0,Beverages,0.0,0.0,211016006.0,50586433.0,5,18
Arizona,30,2020-05-03,134864797.0,Beverages,0.0,0.0,119877789.0,62404266.0,5,18
Arizona,31,2020-05-10,136028525.0,Beverages,134864797.0,0.0,0.0,64629810.75,5,19
Arizona,32,2020-05-17,0.0,Beverages,136028525.0,0.0,0.0,67723330.5,5,20
Arizona,33,2020-05-24,0.0,Beverages,0.0,125962618.0,0.0,67723330.5,5,21
Arizona,34,2020-05-31,0.0,Beverages,0.0,123654446.0,115424159.0,67723330.5,5,22
Arizona,35,2020-06-07,138359363.0,Beverages,0.0,0.0,120785283.0,34007131.25,6,23
Arizona,36,2020-06-14,0.0,Beverages,138359363.0,0.0,0.0,34589840.75,6,24
Arizona,37,2020-06-21,0.0,Beverages,0.0,134864797.0,0.0,34589840.75,6,25
Arizona,38,2020-06-28,0.0,Beverages,0.0,136028525.0,109101595.0,34589840.75,6,26
Arizona,39,2020-07-05,144153475.0,Beverages,0.0,0.0,110405117.0,34589840.75,7,27
Arizona,40,2020-07-12,136606142.0,Beverages,144153475.0,0.0,0.0,36038368.75,7,28
Arizona,41,2020-07-19,0.0,Beverages,136606142.0,0.0,0.0,70189904.25,7,29
Arizona,42,2020-07-26,0.0,Beverages,0.0,138359363.0,0.0,70189904.25,7,30
Arizona,43,2020-08-02,135907144.0,Beverages,0.0,0.0,109641291.0,70189904.25,8,31
Arizona,44,2020-08-09,139932969.0,Beverages,135907144.0,0.0,110420623.0,68128321.5,8,32
Arizona,45,2020-08-16,0.0,Beverages,139932969.0,0.0,0.0,68960028.25,8,33
Arizona,46,2020-08-23,0.0,Beverages,0.0,144153475.0,0.0,68960028.25,8,34
Arizona,47,2020-08-30,0.0,Beverages,0.0,136606142.0,115328264.0,68960028.25,8,35
Arizona,48,2020-09-06,140717021.0,Beverages,0.0,0.0,111821590.0,34983242.25,9,36
Arizona,49,2020-09-13,0.0,Beverages,140717021.0,0.0,0.0,35179255.25,9,37
Arizona,50,2020-09-20,0.0,Beverages,0.0,135907144.0,0.0,35179255.25,9,38
Arizona,51,2020-09-27,0.0,Beverages,0.0,139932969.0,118349206.0,35179255.25,9,39
Arizona,52,2020-10-04,132505937.0,Beverages,0.0,0.0,127985444.0,35179255.25,10,40
Arizona,53,2020-10-11,133872032.0,Beverages,132505937.0,0.0,0.0,33126484.25,10,41
Arizona,54,2020-10-18,0.0,Beverages,133872032.0,0.0,0.0,66594492.25,10,42
Arizona,55,2020-10-25,0.0,Beverages,0.0,140717021.0,0.0,66594492.25,10,43
Arizona,56,2020-11-01,123994824.0,Beverages,0.0,0.0,125962618.0,66594492.25,11,44
Arizona,57,2020-11-08,130904551.0,Beverages,123994824.0,0.0,123654446.0,64466714.0,11,45
Arizona,58,2020-11-15,0.0,Beverages,130904551.0,0.0,0.0,63724843.75,11,46
Arizona,59,2020-11-22,0.0,Beverages,0.0,132505937.0,0.0,63724843.75,11,47
Arizona,60,2020-11-29,0.0,Beverages,0.0,133872032.0,134864797.0,63724843.75,11,48
Arizona,61,2020-12-06,118392564.0,Beverages,0.0,0.0,136028525.0,32726137.75,12,49
Arizona,62,2020-12-13,0.0,Beverages,118392564.0,0.0,0.0,29598141.0,12,50
Arizona,63,2020-12-20,0.0,Beverages,0.0,123994824.0,0.0,29598141.0,12,51
Arizona,64,2020-12-27,0.0,Beverages,0.0,130904551.0,0.0,29598141.0,12,52
Arizona,65,2021-01-03,119728725.0,Beverages,0.0,0.0,138359363.0,29598141.0,1,53
Arizona,66,2021-01-10,121976001.0,Beverages,119728725.0,0.0,0.0,29932181.25,1,1
Arizona,67,2021-01-17,0.0,Beverages,121976001.0,0.0,0.0,60426181.5,1,2
Arizona,68,2021-01-24,0.0,Beverages,0.0,118392564.0,0.0,60426181.5,1,3
Arizona,69,2021-01-31,0.0,Beverages,0.0,0.0,144153475.0,60426181.5,1,4
Arizona,70,2021-02-07,126877371.0,Beverages,0.0,0.0,136606142.0,30494000.25,2,5
Arizona,71,2021-02-14,0.0,Beverages,126877371.0,0.0,0.0,31719342.75,2,6
Arizona,72,2021-02-21,0.0,Beverages,0.0,119728725.0,0.0,31719342.75,2,7
Arizona,73,2021-02-28,0.0,Beverages,0.0,121976001.0,135907144.0,31719342.75,2,8
Arizona,74,2021-03-07,136194918.0,Beverages,0.0,0.0,139932969.0,31719342.75,3,9
Arizona,75,2021-03-14,0.0,Beverages,136194918.0,0.0,0.0,34048729.5,3,10
Arizona,76,2021-03-21,0.0,Beverages,0.0,0.0,0.0,34048729.5,3,11
Arizona,77,2021-03-28,0.0,Beverages,0.0,126877371.0,0.0,34048729.5,3,12
Arizona,78,2021-04-04,140912772.0,Beverages,0.0,0.0,140717021.0,34048729.5,4,13
Arizona,79,2021-04-11,138011956.0,Beverages,140912772.0,0.0,0.0,35228193.0,4,14
Arizona,80,2021-04-18,0.0,Beverages,138011956.0,0.0,0.0,69731182.0,4,15
Arizona,81,2021-04-25,0.0,Beverages,0.0,136194918.0,0.0,69731182.0,4,16
Arizona,82,2021-05-02,144090339.0,Beverages,0.0,0.0,132505937.0,69731182.0,5,17
Arizona,83,2021-05-09,152933491.0,Beverages,144090339.0,0.0,133872032.0,70525573.75,5,18
Arizona,84,2021-05-16,0.0,Beverages,152933491.0,0.0,0.0,74255957.5,5,19
Arizona,85,2021-05-23,0.0,Beverages,0.0,140912772.0,0.0,74255957.5,5,20
Arizona,86,2021-05-30,0.0,Beverages,0.0,138011956.0,123994824.0,74255957.5,5,21
Arizona,87,2021-06-06,153270396.0,Beverages,0.0,0.0,130904551.0,38233372.75,6,22
Arizona,88,2021-06-13,0.0,Beverages,153270396.0,0.0,0.0,38317599.0,6,23
Arizona,89,2021-06-20,0.0,Beverages,0.0,144090339.0,0.0,38317599.0,6,24
Arizona,90,2021-06-27,0.0,Beverages,0.0,152933491.0,0.0,38317599.0,6,25
Arizona,91,2021-07-04,155493045.0,Beverages,0.0,0.0,118392564.0,38317599.0,7,26
Arizona,92,2021-07-11,150801486.0,Beverages,155493045.0,0.0,0.0,38873261.25,7,27
Arizona,93,2021-07-18,0.0,Beverages,150801486.0,0.0,0.0,76573632.75,7,28
Arizona,94,2021-07-25,0.0,Beverages,0.0,153270396.0,0.0,76573632.75,7,29
Arizona,95,2021-08-01,144662532.0,Beverages,0.0,0.0,119728725.0,76573632.75,8,30
Arizona,96,2021-08-08,154347015.0,Beverages,144662532.0,0.0,121976001.0,73866004.5,8,31
Arizona,97,2021-08-15,0.0,Beverages,154347015.0,0.0,0.0,74752386.75,8,32
Arizona,98,2021-08-22,0.0,Beverages,0.0,155493045.0,0.0,74752386.75,8,33
Arizona,99,2021-08-29,0.0,Beverages,0.0,150801486.0,0.0,74752386.75,8,34
Arizona,100,2021-09-05,155366160.0,Beverages,0.0,0.0,126877371.0,38586753.75,9,35
Arizona,101,2021-09-12,149966653.0,Beverages,155366160.0,0.0,0.0,38841540.0,9,36
Arizona,102,2021-09-19,0.0,Beverages,149966653.0,144662532.0,0.0,76333203.25,9,37
Arizona,103,2021-09-26,0.0,Beverages,0.0,154347015.0,0.0,76333203.25,9,38
Arizona,104,2021-10-03,200820085.0,Beverages,0.0,0.0,136194918.0,76333203.25,10,39
Arizona,105,2021-10-10,201963815.0,Beverages,200820085.0,0.0,0.0,87696684.5,10,40
Arizona,106,2021-10-17,0.0,Beverages,201963815.0,0.0,0.0,100695975.0,10,41
Arizona,107,2021-10-24,0.0,Beverages,0.0,155366160.0,0.0,100695975.0,10,42
Arizona,108,2021-10-31,0.0,Beverages,0.0,149966653.0,140912772.0,100695975.0,10,43
Arizona,109,2021-11-07,201120667.0,Beverages,0.0,0.0,138011956.0,50490953.75,11,44
Arizona,110,2021-11-14,0.0,Beverages,201120667.0,0.0,0.0,50280166.75,11,45
Arizona,111,2021-11-21,0.0,Beverages,0.0,200820085.0,0.0,50280166.75,11,46
Arizona,112,2021-11-28,0.0,Beverages,0.0,201963815.0,144090339.0,50280166.75,11,47
Arizona,113,2021-12-05,186262764.0,Beverages,0.0,0.0,152933491.0,50280166.75,12,48
Arizona,114,2021-12-12,187993597.0,Beverages,186262764.0,0.0,0.0,46565691.0,12,49
Arizona,115,2021-12-19,0.0,Beverages,187993597.0,0.0,0.0,93564090.25,12,50
Arizona,116,2021-12-26,0.0,Beverages,0.0,201120667.0,0.0,93564090.25,12,51
Arizona,117,2022-01-02,182124831.0,Beverages,0.0,0.0,153270396.0,93564090.25,1,52
Arizona,118,2022-01-09,187226998.0,Beverages,182124831.0,0.0,0.0,92529607.0,1,1
Arizona,119,2022-01-16,0.0,Beverages,187226998.0,0.0,0.0,92337957.25,1,2
Arizona,120,2022-01-23,0.0,Beverages,0.0,186262764.0,0.0,92337957.25,1,3
Arizona,121,2022-01-30,0.0,Beverages,0.0,187993597.0,155493045.0,92337957.25,1,4
Arizona,122,2022-02-06,191822690.0,Beverages,0.0,0.0,150801486.0,46806749.5,2,5
Arizona,123,2022-02-13,0.0,Beverages,191822690.0,0.0,0.0,47955672.5,2,6
Arizona,124,2022-02-20,0.0,Beverages,0.0,182124831.0,0.0,47955672.5,2,7
Arizona,125,2022-02-27,0.0,Beverages,0.0,187226998.0,144662532.0,47955672.5,2,8
Arizona,126,2022-03-06,204336119.0,Beverages,0.0,0.0,154347015.0,47955672.5,3,9
Arizona,127,2022-03-13,0.0,Beverages,204336119.0,0.0,0.0,51084029.75,3,10
Arizona,128,2022-03-20,0.0,Beverages,0.0,0.0,0.0,51084029.75,3,11
Arizona,129,2022-03-27,0.0,Beverages,0.0,191822690.0,0.0,51084029.75,3,12
Arizona,130,2022-04-03,216587578.0,Beverages,0.0,0.0,155366160.0,51084029.75,4,13
Arizona,131,2022-04-10,219518921.0,Beverages,216587578.0,0.0,149966653.0,54146894.5,4,14
Arizona,132,2022-04-17,0.0,Beverages,219518921.0,0.0,0.0,109026624.75,4,15
Arizona,133,2022-04-24,0.0,Beverages,0.0,204336119.0,0.0,109026624.75,4,16
Arizona,134,2022-05-01,210346537.0,Beverages,0.0,0.0,200820085.0,109026624.75,5,17
Arizona,135,2022-05-08,219329549.0,Beverages,210346537.0,0.0,201963815.0,107466364.5,5,18
Arizona,136,2022-05-15,0.0,Beverages,219329549.0,0.0,0.0,107419021.5,5,19
Arizona,137,2022-05-22,0.0,Beverages,0.0,216587578.0,0.0,107419021.5,5,20
Arizona,138,2022-05-29,0.0,Beverages,0.0,219518921.0,0.0,107419021.5,5,21
Arizona,139,2022-06-05,221466462.0,Beverages,0.0,0.0,201120667.0,54832387.25,6,22
Arizona,140,2022-06-12,228960137.0,Beverages,221466462.0,0.0,0.0,55366615.5,6,23
Arizona,141,2022-06-19,0.0,Beverages,228960137.0,210346537.0,0.0,112606649.75,6,24
Arizona,142,2022-06-26,0.0,Beverages,0.0,219329549.0,0.0,112606649.75,6,25
Arizona,143,2022-07-03,230278334.0,Beverages,0.0,0.0,186262764.0,112606649.75,7,26
Arizona,144,2022-07-10,220195810.0,Beverages,230278334.0,0.0,187993597.0,114809617.75,7,27
Arizona,145,2022-07-17,0.0,Beverages,220195810.0,0.0,0.0,112618536.0,7,28
Arizona,146,2022-07-24,0.0,Beverages,0.0,221466462.0,0.0,112618536.0,7,29
Arizona,147,2022-07-31,0.0,Beverages,0.0,228960137.0,182124831.0,112618536.0,7,30
Arizona,148,2022-08-07,225961035.0,Beverages,0.0,0.0,187226998.0,55048952.5,8,31
Arizona,149,2022-08-14,0.0,Beverages,225961035.0,0.0,0.0,56490258.75,8,32
Arizona,150,2022-08-21,0.0,Beverages,0.0,230278334.0,0.0,56490258.75,8,33
Arizona,151,2022-08-28,0.0,Beverages,0.0,220195810.0,0.0,56490258.75,8,34
Arizona,152,2022-09-04,232958487.0,Beverages,0.0,0.0,191822690.0,56490258.75,9,35
Arizona,153,2022-09-11,226231108.0,Beverages,232958487.0,0.0,0.0,58239621.75,9,36
Arizona,154,2022-09-18,0.0,Beverages,226231108.0,0.0,0.0,114797398.75,9,37
Arizona,155,2022-09-25,0.0,Beverages,0.0,225961035.0,0.0,114797398.75,9,38
Arizona,156,2022-10-02,214133475.0,Beverages,0.0,0.0,204336119.0,114797398.75,10,39
Arizona,157,2022-10-09,218976019.0,Beverages,214133475.0,0.0,0.0,110091145.75,10,40
Arizona,158,2022-10-16,0.0,Beverages,218976019.0,0.0,0.0,108277373.5,10,41
Arizona,159,2022-10-23,0.0,Beverages,0.0,232958487.0,0.0,108277373.5,10,42
Arizona,160,2022-10-30,0.0,Beverages,0.0,226231108.0,216587578.0,108277373.5,10,43
